Egg mass count,Location,Depth,Water Temp,pH
0.0,0.0,130.0,14.6,5.5
0.0,0.0,147.0,14.6,5.5
0.0,0.0,159.0,14.6,5.5
0,0.0,152.0,13.6,5.5
2,0.0,164.0,13.6,5.5
0,0.0,158.0,13.6,5.5
0,0.0,152.0,15.1,6
2,0.0,173.0,13.4,6
0,0.0,170.0,14.7,6
0,0.0,170.0,14,6
0,0.0,156.0,12.3,6
3,0.0,127.0,13.8,6
0,0.0,167.0,13.1,5.5
0,0.0,161.0,12.9,5.5
1,0.0,168.0,13.2,5.5
0,0.0,163.0,13,5.5
0,0.0,177.0,14.2,6
0,0.0,171.0,12.6,6
0,0.0,171.0,12.2,6
0,0.0,169.0,12,6
0,0.0,166.0,12.2,6
7,0.0,175.0,12.5,6
1,0.0,173.0,12.6,6
0,0.0,170.0,12.4,6
0,0.0,170.0,12.3,6
0,0.0,170.0,12.1,6
0,0.0,140.0,12.1,6
0,0.0,142.0,12.1,6
0,0.0,163.0,12.4,6
1,0.0,164.0,12.4,6
0,0.0,161.0,12.5,6
0,0.0,172.0,12.5,6
0,0.0,150.0,12.1,6
0,0.0,160.0,12.1,6
0,0.0,168.0,12.5,6
0,0.0,175.0,12.5,6
0,0.0,132.0,12.2,6
0,0.0,164.0,12.2,6
0,0.0,180.0,12.5,6
0,0.0,160.0,12.8,6
0,0.0,168.0,11.8,6
0,0.0,154.0,11.8,6
0,0.0,165.0,11.8,6
0,0.0,120.0,11.8,6
0,0.0,125.0,12.5,6
0,0.0,134.0,12.5,6
0.0,0.0,140.0,12.5,5.5
0.0,0.0,171.0,12.5,5.5
0.0,0.0,119.0,12.5,5.5
0.0,0.0,151.0,12.5,5.5
0.0,0.0,155.0,13,5.5
0.0,0.0,171.0,13,5.5
0.0,0.0,124.0,13,5.5
0.0,0.0,170.0,11.5,5.5
0.0,0.0,170.0,11.4,5.5
4.0,0.0,178.0,11.8,5
0.0,0.0,175.0,12.1,5
0.0,0.0,139.0,12.1,5
0.0,0.0,125.0,11.8,5
0.0,0.0,177.0,11.8,5
0.0,0.0,115.0,11.8,5
0.0,0.0,163.0,10.7,5
0.0,0.0,148.0,10.7,5
0.0,0.0,160.0,10.7,5
0.0,0.0,158.0,11.1,5
0.0,1.0,135.0,15.8,5
0,1,142.0,13,5.5
0,1,146.0,12.1,5.5
2,1,155.0,12.6,5.5
1,1,155.0,11.3,5.5
0,1,147.0,11.9,5.5
0,1,137.0,12.4,5.5
0,1,146.0,12,5.5
0,1,158.0,11.8,6
0,1,155.0,11.9,5.5
0,1,155.0,11.9,6
0,1,150.0,11.9,5.5
0,1,135.0,13.2,5
0,1,148.0,12.3,5.5
0,1,150.0,12,5.5
0,1,158.0,11.8,5.5
0,1,149.0,12,5.5
0,1,140.0,12.5,5.5
0,1,150.0,12,5.5
1,1,151.0,11.5,5.5
0,1,157.0,12,5.5
0,1,155.0,12.1,5.5
1,1,161.0,13,5.5
1,1,160.0,12.6,5.5
0,1,141.0,11.4,5.5
1,1,167.0,13,5.5
0,1,136.0,11.7,5.5
0,1,168,13.1,5.5
0,1,149.0,14,5.5
0,1,166.0,11.5,5.5
0,1,160.0,12.4,5.5
0,1,139.0,12,5.5
0,1,130.0,11.6,5.5
0,1,134.0,12.2,5.5
0,1,161.0,12.1,5.5
0,1,168.0,12,5.5
0,1,153.0,12.3,5.5
0,1,153.0,12.2,5.5
0,1,146.0,13.1,5.5
0,1,167.0,14.2,5.5
0,1,167.0,12,5.5
0,1,147,13.5,5.5
1,1,162,12.6,5.5
0,1,145,12.8,5.5
0,1,163,12,5.5
0,1,163,11.9,5.5
0,1,163,12.1,5.5
0,1,133,12.1,5.5
0,1,133,13.4,5.5
0,1,157,11.8,5.5
0,1,160,12,5.5
0,1,130,12.8,5.5
0,1,162,12.2,5.5
0,1,130,12.4,5.5
0,1,162,11.6,5.5
8,1,160,12.1,5.5
3,1,153,12.7,5.5
0,1,125,12,5.5
0,2,137.0,12.1,5.5
1,2,143.0,13.1,5.5
0,2,140.0,12.1,5.5
0,2,140.0,12,5.5
1,2,141.0,12.9,5.5
2,2,145.0,12.5,5.5
0,2,142.0,12,5.5
0,2,135.0,11.7,5.5
0,2,146.0,13.2,5.5
0,2,145.0,13.2,5.5
0,2,145.0,13.6,5.5
1,2,145.0,13.1,5.5
2,2,143.0,14.2,5.5
0,2,139.0,14.2,5.5
0,2,142.0,14.1,5.5
2,2,133.00,14.3,4.917
0,2,148.00,14.3,4.917
0,2,143.00,14.7,4.917
0,2,135.00,14.7,4.833333333
0,3.0,137.0,14.7,6.0
0,3.0,106.0,14.7,6.0
0,3.0,112.0,14.7,6
0,3.0,158.0,11.5,6
0,3.0,163.0,11.5,6
0,3.0,186.0,11.5,6
0,3.0,192.0,11.5,6
0,3.0,201.0,11.5,6
0,3.0,201.0,11.5,6
0,3.0,193.0,11.5,6
0,3.0,190.0,12,6
0,3.0,203.0,12,6
0,3.0,184.0,12,6
0,3.0,205.0,12,6
0,3.0,172.0,12,6
0,3.0,208.0,12,6
0,3.0,205.0,11.5,6
0,3.0,200.0,12,6
0,3.0,201.0,11.5,6
0,3.0,174.0,11.5,6
0,3.0,202.0,12,6
0,3.0,196.0,14,6
3,3.0,180.0,14,6
0,3.0,191.0,13,6
1,3.0,196.0,13,6
0,3.0,158.0,13,6
0,3.0,185.0,13,6
0,3.0,180.0,13,6
0,3.0,182.0,13,6
0,3.0,175.0,13,6
0,3.0,135.0,13,6
0,3.0,150.0,13,6
0,3.0,150.0,13,6
